date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:18:04	460621/460621	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Sep%202025%2002:17:05%20GMT	https://eduma.thimpress.com/demo-main/	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/index.html	(from )
05:18:04	160/160	---M-Z	200	added ('OK')	text/plain	date:Wed,%2024%20Sep%202025%2023:48:01%20GMT	https://eduma.thimpress.com/robots.txt		(from )
05:18:05	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2024%20Sep%202025%2023:48:02%20GMT	https://eduma.thimpress.com/demo-main/xmlrpc.php	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/xmlrpc.php	(from https://eduma.thimpress.com/demo-main/)
05:18:05	119/119	---MCZ	200	added ('OK')	text/css	etag:W/%2277-68c3e11b-45498;;;%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/widget-logic/block_widget/css/widget.css?ver=1757667611	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/widget-logic/block_widget/css/widgeta033.css	(from https://eduma.thimpress.com/demo-main/)
05:18:05	2947/2947	---MCZ	200	added ('OK')	text/css	etag:W/%22b83-68c3e111-41374;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1.1	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/contact-form-7/includes/css/styles6a4d.css	(from https://eduma.thimpress.com/demo-main/)
05:18:06	25052/25052	---MCZ	200	added ('OK')	text/css	etag:W/%2261dc-68c3e124-48d02;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/tp-chameleon/assets/style.css?ver=2.0.3.4	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/tp-chameleon/assets/stylefa5f.css	(from https://eduma.thimpress.com/demo-main/)
05:18:06	16158/16158	---MCZ	200	added ('OK')	text/css	etag:W/%223f1e-68cd35a8-44f8f;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/paid-memberships-pro/css/frontend/base.css?ver=3.5.6	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/paid-memberships-pro/css/frontend/base10cb.css	(from https://eduma.thimpress.com/demo-main/)
05:18:06	25487/25487	---MCZ	200	added ('OK')	text/css	etag:W/%22638f-68cd35a8-44f91;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/paid-memberships-pro/css/frontend/variation_1.css?ver=3.5.6	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/paid-memberships-pro/css/frontend/variation_110cb.css	(from https://eduma.thimpress.com/demo-main/)
05:18:06	14621/14621	---MCZ	200	added ('OK')	text/css	etag:W/%22391d-68c3e115-42d27;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/woocommerce/assets/css/select2.css?ver=10.1.2	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/woocommerce/assets/css/select2523e.css	(from https://eduma.thimpress.com/demo-main/)
05:18:07	34745/34745	---M-Z	200	added ('OK')	application/rss+xml	etag:%2231b93d44668ad64642d9118f8cf6093a%22	https://eduma.thimpress.com/demo-main/feed/	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/feed/index.html	(from https://eduma.thimpress.com/demo-main/)
05:18:07	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-68c3e111-413f6;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/thim-widget-landing/assets/css/slick.css?ver=751955396	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/thim-widget-landing/assets/css/slickde75.css	(from https://eduma.thimpress.com/demo-main/)
05:18:07	16375/16375	---MCZ	200	added ('OK')	text/css	etag:W/%223ff7-68c3e111-413f5;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/thim-widget-landing/assets/css/swiper-bundle.min.css?ver=751955396	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/thim-widget-landing/assets/css/swiper-bundle.minde75.css	(from https://eduma.thimpress.com/demo-main/)
05:18:07	12364/12364	---MCZ	200	added ('OK')	text/css	etag:W/%22304c-68c3e111-413f2;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/thim-widget-landing/style.css?ver=751955396	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/thim-widget-landing/stylede75.css	(from https://eduma.thimpress.com/demo-main/)
05:18:07	5665/5665	---M-Z	200	added ('OK')	application/rss+xml	etag:%2231b93d44668ad64642d9118f8cf6093a%22	https://eduma.thimpress.com/demo-main/comments/feed/	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/comments/feed/index.html	(from https://eduma.thimpress.com/demo-main/)
05:18:07	1620/1620	---MCZ	200	added ('OK')	text/css	etag:W/%22654-68c3e111-4174e;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/mailchimp-for-wp/assets/css/form-basic.css?ver=4.10.7	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/mailchimp-for-wp/assets/css/form-basic9073.css	(from https://eduma.thimpress.com/demo-main/)
05:18:08	2279/2279	---MCZ	200	added ('OK')	text/css	etag:W/%228e7-68c3e115-42d80;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/woocommerce/assets/css/brands.css?ver=10.1.2	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/woocommerce/assets/css/brands523e.css	(from https://eduma.thimpress.com/demo-main/)
05:18:08	4731/4731	---MCZ	200	added ('OK')	text/css	etag:W/%22127b-68c3e117-43c48;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/thim-core/assets/css/modal.css?ver=2.4.0	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/thim-core/assets/css/modal8d5a.css	(from https://eduma.thimpress.com/demo-main/)
05:18:08	15729/15729	---MCZ	200	added ('OK')	text/css	etag:W/%223d71-68c3e117-43f4e;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/learnpress-upsell/build/frontend.css?ver=8d582d3b7e2864f00759	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/learnpress-upsell/build/frontend55c5.css	(from https://eduma.thimpress.com/demo-main/)
05:18:08	21256/21256	---MCZ	200	added ('OK')	text/css	etag:W/%225308-68cd34ff-c233d;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.44.0	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mine085.css	(from https://eduma.thimpress.com/demo-main/)
05:18:08	53614/53614	---MCZ	200	added ('OK')	text/css	etag:W/%22d16e-68cd34ff-c2058;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.32.2	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/elementor/assets/css/frontend.min20c8.css	(from https://eduma.thimpress.com/demo-main/)
05:18:09	142159/142159	---M--	200	added ('OK')	image/jpeg	etag:%22dd9cf-68c3e152-51c27;;;%22	https://eduma.thimpress.com/demo-main/wp-content/uploads/sites/95/2023/03/bg-lastest-new-now.jpg	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/uploads/sites/95/2023/03/bg-lastest-new-now.jpg	(from https://eduma.thimpress.com/demo-main/)
05:18:09	122385/122385	---M--	200	added ('OK')	image/jpeg	etag:%22c0529-68c3e152-51c28;;;%22	https://eduma.thimpress.com/demo-main/wp-content/uploads/sites/95/2023/03/bg-register-now-new.jpg	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/uploads/sites/95/2023/03/bg-register-now-new.jpg	(from https://eduma.thimpress.com/demo-main/)
05:18:09	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%22e7d0-68cd34ff-c234d;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=3.32.2	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min20c8.css	(from https://eduma.thimpress.com/demo-main/)
05:18:09	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%22684e-68cd34ff-c235b;br%22	https://eduma.thimpress.com/demo-main/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css?ver=3.32.2	C:/My%20Web%20Sites/Edu/Edu/eduma.thimpress.com/demo-main/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min20c8.css	(from https://eduma.thimpress.com/demo-main/)
